idx,loc_x,loc_y,loc_z,weight,seq,emerg,reloc,size(ft)
1,4,0,0,15.78,1,0,0,20
2,3,0,3,21.28,2,0,0,20
3,6,0,3,19.54,3,0,0,20
4,6,0,0,5.59,4,0,0,20
5,6,0,1,15.81,5,0,0,20
6,1,0,2,12.22,6,0,0,20
7,5,0,3,12.04,7,0,0,20
8,1,0,3,15.34,8,0,0,20
9,5,0,0,8.66,9,0,0,20
10,3,0,1,8.14,10,0,0,20
11,2,0,2,23.08,11,0,0,20
12,2,0,0,9.69,12,0,0,20
13,4,0,2,18.74,13,0,0,20
14,4,0,1,17.03,14,0,0,20
15,3,0,2,13.5,15,0,0,20
16,6,0,4,21.72,16,0,0,20
17,5,0,2,11.39,17,0,0,20
18,5,0,4,15.48,18,0,0,20
19,1,0,0,8.07,19,0,0,20
20,5,0,1,10.05,20,0,0,20
21,3,0,0,7.6,21,0,0,20
22,2,0,1,22.97,22,0,0,20
23,6,0,2,16.28,23,0,0,20
24,4,0,3,20.23,24,0,0,20
25,1,0,1,8.59,25,0,0,20
