idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,9.79,3,309.79,1,1.0,20
2,4,0,1,5.3,3,305.3,2,1.0,20
3,5,0,0,21.5,3,321.5,3,0,20
4,1,0,0,9.71,0,9.71,4,0,20
5,1,0,1,12.75,0,12.75,5,0,20
6,1,0,2,13.15,1,113.15,6,0,20
7,2,0,0,5.14,0,5.14,7,0,20
8,3,0,0,13.05,0,13.05,8,1.0,20
9,2,0,1,12.81,0,12.81,9,0,20
10,2,0,2,11.35,2,211.35,10,1.0,20
11,2,0,3,8.82,2,208.82,11,1.0,20
12,4,0,2,12.45,2,212.45,12,1.0,20
13,3,0,1,10.05,0,10.05,13,1.0,20
14,3,0,2,8.7,2,208.7,14,1.0,20
15,3,0,3,20.94,3,320.94,15,1.0,20
