idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,1,0,0,8.41,0,8.41,0,1.0,20
2,3,0,0,23.16,0,23.16,0,1.0,20
3,6,0,0,15.94,0,15.94,0,1.0,20
4,4,0,0,16.34,0,16.34,0,1.0,20
5,5,0,0,7.62,0,7.62,0,0,20
6,6,0,1,8.53,0,8.53,0,1.0,20
7,5,0,1,20.72,0,20.72,0,1.0,20
8,1,0,1,6.04,0,6.04,1,1.0,20
9,1,0,2,15.35,0,15.35,2,1.0000000000000004,20
10,5,0,2,22.01,0,22.01,3,1.0,20
11,3,0,1,12.5,0,12.5,4,1.0,20
12,4,0,1,12.66,0,12.66,5,1.0,20
13,3,0,2,23.15,0,23.15,6,1.0,20
14,3,0,3,20.06,0,20.06,7,1.0,20
15,4,0,2,22.55,0,22.55,8,1.0,20
16,2,0,0,6.62,0,6.62,9,0,20
17,4,0,3,21.6,0,21.6,10,1.0,20
18,3,0,4,16.22,0,16.22,11,0.9999999999999982,20
19,2,0,1,9.1,0,9.1,12,0,20
20,5,0,3,23.12,0,23.12,13,1.0,20
21,6,0,2,18.78,0,18.78,14,1.0,20
22,1,0,3,5.87,0,5.87,15,1.0,20
23,2,0,2,11.54,0,11.54,16,0,20
