idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,6,0,0,19.12,0,19.12,1,0,1.0,20
2,2,0,0,9.88,0,9.88,2,0,1.0,20
3,5,0,0,13.28,0,13.28,3,0,1.0,20
4,7,0,0,19.43,0,19.43,4,0,1.0,20
5,5,0,1,14.33,0,14.33,5,0,1.0,20
6,8,0,0,23.43,0,23.43,6,0,1.0,20
7,6,0,1,17.69,0,17.69,7,0,1.0,20
8,6,0,2,18.47,0,18.47,8,0,1.0,20
9,2,0,1,10.31,0,10.31,9,0,1.0,20
10,8,0,1,22.43,0,22.43,10,0,1.0,20
11,10,0,0,23.9,0,23.9,11,0,0,20
12,9,0,0,20.79,0,20.79,12,0,1.0,20
13,6,0,3,17.4,0,17.4,13,0,1.0,20
14,2,0,2,9.46,0,9.46,14,0,1.0,20
15,3,0,0,8.79,0,8.79,15,0,1.0,20
16,4,0,0,12.48,0,12.48,16,0,1.0,20
17,9,0,1,22.49,0,22.49,17,0,1.0,20
18,6,0,4,18.97,0,18.97,18,0,1.0,20
19,3,0,1,8.07,0,8.07,19,0,1.0,20
20,8,0,2,20.93,0,20.93,20,0,1.0,20
21,3,0,2,7.83,0,7.83,21,0,1.0,20
22,8,0,3,21.7,0,21.7,22,0,1.0,20
23,6,0,5,19.02,0,19.02,23,0,1.0,20
24,9,0,2,20.96,0,20.96,24,0,1.0,20
25,4,0,1,8.89,0,8.89,25,0,1.0,20
26,4,0,2,13.14,0,13.14,26,0,1.0,20
27,1,0,0,6.99,0,6.99,27,0,1.0,20
28,4,0,3,13.91,0,13.91,28,0,1.0,20
29,7,0,1,19.68,0,19.68,29,0,1.0,20
30,2,0,3,8.12,0,8.12,30,0,1.0,20
31,2,0,4,11.31,0,11.31,31,0,1.0,20
32,3,0,3,9.56,0,9.56,32,0,1.0,20
33,7,0,2,20.81,0,20.81,33,0,1.0,20
34,7,0,3,19.76,0,19.76,34,0,1.0,20
35,5,0,2,16.82,0,16.82,35,0,1.0,20
36,7,0,4,19.39,0,19.39,36,0,1.0,20
37,4,0,4,14.02,0,14.02,37,0,1.0,20
38,2,0,5,10.14,0,10.14,38,0,1.0,20
39,3,0,4,10.01,0,10.01,39,0,1.0,20
40,1,0,1,5.62,0,5.62,40,0,1.0,20
41,5,0,3,15.39,0,15.39,41,0,1.0,20
42,4,0,5,14.59,0,14.59,42,0,1.0,20
43,1,0,2,7.31,0,7.31,43,0,1.0,20
44,3,0,5,9.29,0,9.29,44,0,1.0,20
45,7,0,5,19.35,0,19.35,45,0,1.0,20
46,8,0,4,23.74,0,23.74,46,0,1.0,20
47,1,0,3,5.44,0,5.44,47,0,1.0,20
48,5,0,4,16.69,0,16.69,48,0,1.0,20
49,1,0,4,9.32,0,9.32,49,0,1.0,20
50,5,0,5,15.23,0,15.23,50,0,1.0,20
