idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,7,0,0,18.77,0,18.77,1,0,1.0000000000000002,20
2,7,0,1,18.67,0,18.67,2,0,1.0000000000000002,20
3,3,0,0,9.6,0,9.6,3,0,1.0,20
4,3,0,1,7.13,0,7.13,4,0,1.0,20
5,8,0,0,22.75,0,22.75,5,0,1.0,20
6,9,0,0,19.38,0,19.38,6,0,0,20
7,3,0,2,11.0,0,11.0,7,0,1.0,20
8,3,0,3,12.46,0,12.46,8,0,1.0,20
9,5,0,0,16.45,0,16.45,9,0,1.0,20
10,7,0,2,17.97,0,17.97,10,0,1.0000000000000002,20
11,2,0,0,6.09,0,6.09,11,0,1.0,20
12,2,0,1,8.05,0,8.05,12,0,1.0,20
13,7,0,3,18.01,0,18.01,13,0,1.0,20
14,2,0,2,6.39,0,6.39,14,0,1.0,20
15,2,0,3,10.64,0,10.64,15,0,1.0,20
16,5,0,1,15.1,0,15.1,16,0,1.0,20
17,1,0,0,6.1,0,6.1,17,0,1.0,20
18,8,0,1,20.33,0,20.33,18,0,1.0,20
19,7,0,4,22.56,0,22.56,19,0,1.0,20
20,5,0,2,15.9,0,15.9,20,0,1.0,20
21,4,0,0,13.95,0,13.95,21,0,1.0,20
22,5,0,3,15.59,0,15.59,22,0,1.0,20
23,2,0,4,10.04,0,10.04,23,0,1.0,20
24,6,0,0,15.5,0,15.5,24,0,1.0,20
25,7,0,5,22.04,0,22.04,25,0,1.0,20
26,6,0,1,17.07,0,17.07,26,0,1.0,20
27,5,0,4,14.04,0,14.04,27,0,1.0,20
28,1,0,1,7.73,0,7.73,28,0,1.0,20
29,8,0,2,19.73,0,19.73,29,0,1.0,20
30,2,0,5,10.74,0,10.74,30,0,1.0,20
31,9,0,1,19.81,0,19.81,31,0,0,20
32,10,0,0,23.63,0,23.63,32,0,1.0,20
33,3,0,4,12.04,0,12.04,33,0,1.0,20
34,3,0,5,10.63,0,10.63,34,0,1.0,20
35,8,0,3,20.46,0,20.46,35,0,1.0,20
36,1,0,2,7.45,0,7.45,36,0,1.0,20
37,5,0,5,13.97,0,13.97,37,0,1.0,20
38,4,0,1,6.03,0,6.03,38,0,1.0,20
39,4,0,2,14.33,0,14.33,39,0,1.0,20
40,6,0,2,17.81,0,17.81,40,0,0.9999999999999958,20
41,6,0,3,16.12,0,16.12,41,0,1.0,20
42,8,0,4,21.57,0,21.57,42,0,1.0,20
43,4,0,3,13.41,0,13.41,43,0,1.0,20
44,4,0,4,13.32,0,13.32,44,0,1.0,20
45,1,0,3,8.9,0,8.9,45,0,1.0,20
46,9,0,2,21.15,0,21.15,46,0,0,20
47,4,0,5,13.54,0,13.54,47,0,1.0,20
48,1,0,4,7.95,0,7.95,48,0,1.0,20
49,6,0,4,18.31,0,18.31,49,0,1.0000000000000004,20
50,6,0,5,15.41,0,15.41,50,0,1.0,20
