idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,3,0,0,7.99,0,7.99,1,0,1.0,20
2,5,0,0,9.76,0,9.76,2,0,1.0,20
3,5,0,1,12.27,0,12.27,3,0,1.0,20
4,2,0,0,7.13,0,7.13,4,0,1.0,20
5,5,0,2,10.6,0,10.6,5,0,1.0,20
6,3,0,1,7.76,0,7.76,6,0,1.0,20
7,9,0,0,22.17,0,22.17,7,0,1.0,20
8,5,0,3,13.62,0,13.62,8,0,1.0,20
9,4,0,0,11.24,0,11.24,9,0,1.0,20
10,4,0,1,10.66,0,10.66,10,0,1.0,20
11,9,0,1,21.94,0,21.94,11,0,1.0,20
12,4,0,2,11.08,0,11.08,12,0,1.0,20
13,2,0,1,7.3,0,7.3,13,0,1.0,20
14,3,0,2,10.59,0,10.59,14,0,1.0,20
15,7,0,0,17.94,0,17.94,15,0,1.0,20
16,8,0,0,22.54,0,22.54,16,0,1.0,20
17,4,0,3,12.39,0,12.39,17,0,1.0,20
18,1,0,0,5.33,0,5.33,18,0,1.0,20
19,2,0,2,9.0,0,9.0,19,0,1.0,20
20,1,0,1,7.32,0,7.32,20,0,1.0,20
21,7,0,1,14.62,0,14.62,21,0,1.0,20
22,8,0,1,18.49,0,18.49,22,0,1.0,20
23,1,0,2,7.32,0,7.32,23,0,1.0,20
24,1,0,3,7.08,0,7.08,24,0,1.0,20
25,4,0,4,13.07,0,13.07,25,0,1.0,20
26,8,0,2,17.66,0,17.66,26,0,1.0,20
27,10,0,0,21.63,0,21.63,27,0,0,20
28,2,0,3,10.1,0,10.1,28,0,1.0,20
29,8,0,3,21.81,0,21.81,29,0,1.0,20
30,6,0,0,16.28,0,16.28,30,0,1.0,20
31,8,0,4,21.14,0,21.14,31,0,1.0,20
32,7,0,2,18.15,0,18.15,32,0,1.0,20
33,5,0,4,13.54,0,13.54,33,0,1.0,20
34,7,0,3,21.24,0,21.24,34,0,1.0,20
35,7,0,4,19.48,0,19.48,35,0,1.0,20
36,3,0,3,10.63,0,10.63,36,0,1.0,20
37,9,0,2,17.56,0,17.56,37,0,1.0,20
38,6,0,1,15.99,0,15.99,38,0,1.0,20
39,2,0,4,10.06,0,10.06,39,0,1.0,20
40,7,0,5,20.29,0,20.29,40,0,1.0,20
41,6,0,2,15.71,0,15.71,41,0,1.0,20
42,9,0,3,23.49,0,23.49,42,0,1.0,20
43,3,0,4,10.28,0,10.28,43,0,1.0,20
44,4,0,5,12.43,0,12.43,44,0,1.0,20
45,10,0,1,23.91,0,23.91,45,0,0,20
46,1,0,4,5.09,0,5.09,46,0,1.0,20
47,6,0,3,12.32,0,12.32,47,0,1.0,20
48,3,0,5,9.94,0,9.94,48,0,1.0,20
49,6,0,4,12.66,0,12.66,49,0,1.0,20
50,5,0,5,13.11,0,13.11,50,0,1.0,20
