idx,seq,group,emerg,weight,size(ft)
11,1,0,0,14.28,20
12,2,0,0,15.08,20
13,3,0,0,18.64,20
14,4,0,0,13.09,20
15,5,0,0,12.98,20
16,6,0,0,18.69,20
17,7,0,0,13.54,20
18,8,0,0,16.63,20
19,9,0,0,22.86,20
20,10,0,0,8.18,20
21,11,0,0,15.64,20
22,12,0,0,10.49,20
23,13,0,0,11.36,20
24,14,0,0,9.61,20
25,15,0,0,12.05,20
26,16,0,0,5.2,20
27,17,0,0,9.99,20
28,18,0,0,8.48,20
29,19,0,0,18.15,20
30,20,0,0,18.34,20
31,21,0,0,20.64,20
32,22,0,0,23.92,20
33,23,0,0,15.73,20
34,24,0,0,22.84,20
35,25,0,0,7.05,20
36,26,0,0,6.98,20
37,27,0,0,10.51,20
38,28,0,0,13.73,20
39,29,0,0,9.6,20
40,30,0,0,7.62,20
41,31,0,0,12.34,20
42,32,0,0,10.86,20
43,33,0,0,8.97,20
44,34,0,0,5.07,20
45,35,0,0,6.68,20
46,36,0,0,9.13,20
47,37,0,0,11.04,20
48,38,0,0,21.14,20
49,39,0,0,7.42,20
50,40,0,0,12.91,20
