idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,4,0,0,17.69,3,317.69,1,1.0,20
2,6,0,0,18.75,3,318.75,2,0,20
3,2,0,0,14.92,0,14.92,3,1.0,20
4,4,0,1,18.95,2,218.95,4,1.0,20
5,4,0,2,10.0,3,310.0,5,1.0,20
6,3,0,0,10.86,1,110.86,6,0,20
7,3,0,1,13.41,2,213.41,7,1.0,20
8,3,0,2,10.72,2,210.72,8,1.0,20
9,4,0,3,10.45,3,310.45,9,1.0,20
10,2,0,1,18.03,1,118.03,10,1.0,20
11,1,0,0,22.97,0,22.97,11,1.0,20
12,2,0,2,16.31,1,116.31,12,1.0,20
13,2,0,3,19.6,1,119.6,13,1.0,20
14,3,0,3,17.16,3,317.16,14,1.0,20
15,2,0,4,13.93,1,113.93,15,1.0,20
16,1,0,1,8.45,1,108.45,16,1.0,20
17,5,0,0,8.6,2,208.6,17,0,20
18,5,0,1,14.23,2,214.23,18,0,20
19,5,0,2,19.86,2,219.86,19,0,20
20,1,0,2,20.22,0,20.22,20,1.0,20
