idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,20.21,20
12,2,0,0,11.59,20
13,3,0,0,19.33,20
14,4,0,0,13.01,20
15,5,0,0,12.24,20
16,6,0,0,12.95,20
17,7,0,0,16.48,20
18,8,0,0,14.29,20
19,9,0,0,13.72,20
20,10,0,0,5.85,20
21,11,0,0,9.04,20
22,12,0,0,22.49,20
23,13,0,0,9.78,20
24,14,0,0,16.08,20
25,15,0,0,14.85,20
26,16,0,0,12.65,20
27,17,0,0,10.93,20
28,18,0,0,23.72,20
29,19,0,0,21.82,20
30,20,0,0,19.32,20
31,21,0,0,5.34,20
32,22,0,0,5.06,20
33,23,0,0,23.4,20
34,24,0,0,9.93,20
35,25,0,0,15.41,20
36,26,0,0,11.39,20
37,27,0,0,11.75,20
38,28,0,0,14.75,20
39,29,0,0,5.96,20
40,30,0,0,14.3,20
41,31,0,0,21.57,20
42,32,0,0,5.57,20
43,33,0,0,11.59,20
44,34,0,0,14.01,20
45,35,0,0,5.05,20
46,36,0,0,13.78,20
47,37,0,0,14.15,20
48,38,0,0,16.87,20
49,39,0,0,20.73,20
50,40,0,0,11.56,20
