idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,21.35,20
12,2,0,0,21.81,20
13,3,0,0,22.89,20
14,4,0,0,11.01,20
15,5,0,0,22.11,20
16,6,0,0,8.57,20
17,7,0,0,15.13,20
18,8,0,0,16.06,20
19,9,0,0,18.1,20
20,10,0,0,8.89,20
21,11,0,0,11.97,20
22,12,0,0,9.26,20
23,13,0,0,23.01,20
24,14,0,0,11.07,20
25,15,0,0,19.84,20
26,16,0,0,12.03,20
27,17,0,0,14.12,20
28,18,0,0,8.45,20
29,19,0,0,5.34,20
30,20,0,0,9.04,20
31,21,0,0,17.12,20
32,22,0,0,23.68,20
33,23,0,0,19.49,20
34,24,0,0,20.8,20
35,25,0,0,16.12,20
36,26,0,0,21.24,20
37,27,0,0,14.51,20
38,28,0,0,8.33,20
39,29,0,0,10.31,20
40,30,0,0,7.03,20
41,31,0,0,23.96,20
42,32,0,0,22.17,20
43,33,0,0,11.13,20
44,34,0,0,6.58,20
45,35,0,0,17.65,20
46,36,0,0,19.75,20
47,37,0,0,13.89,20
48,38,0,0,10.03,20
49,39,0,0,18.17,20
50,40,0,0,12.64,20
