idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,11.22,20
12,2,0,0,6.23,20
13,3,0,0,7.7,20
14,4,0,0,11.28,20
15,5,0,0,6.86,20
16,6,0,0,5.79,20
17,7,0,0,13.62,20
18,8,0,0,5.17,20
19,9,0,0,14.26,20
20,10,0,0,15.45,20
21,11,0,0,20.33,20
22,12,0,0,9.53,20
23,13,0,0,16.94,20
24,14,0,0,9.98,20
25,15,0,0,21.58,20
26,16,0,0,14.7,20
27,17,0,0,21.16,20
28,18,0,0,12.67,20
29,19,0,0,15.07,20
30,20,0,0,8.68,20
31,21,0,0,16.47,20
32,22,0,0,9.01,20
33,23,0,0,20.53,20
34,24,0,0,19.3,20
35,25,0,0,9.43,20
36,26,0,0,5.39,20
37,27,0,0,15.49,20
38,28,0,0,13.54,20
39,29,0,0,19.95,20
40,30,0,0,18.52,20
41,31,0,0,20.19,20
42,32,0,0,16.73,20
43,33,0,0,9.35,20
44,34,0,0,14.59,20
45,35,0,0,12.76,20
46,36,0,0,12.1,20
47,37,0,0,23.87,20
48,38,0,0,18.39,20
49,39,0,0,14.48,20
50,40,0,0,13.01,20
