idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,5.15,20
12,2,0,0,20.15,20
13,3,0,0,12.26,20
14,4,0,0,23.2,20
15,5,0,0,19.55,20
16,6,0,0,22.21,20
17,7,0,0,16.44,20
18,8,0,0,21.68,20
19,9,0,0,18.35,20
20,10,0,0,23.84,20
21,11,0,0,8.29,20
22,12,0,0,22.37,20
23,13,0,0,9.8,20
24,14,0,0,17.84,20
25,15,0,0,17.5,20
26,16,0,0,21.94,20
27,17,0,0,12.93,20
28,18,0,0,14.43,20
29,19,0,0,10.48,20
30,20,0,0,9.07,20
31,21,0,0,18.23,20
32,22,0,0,8.35,20
33,23,0,0,15.15,20
34,24,0,0,8.85,20
35,25,0,0,11.41,20
36,26,0,0,7.37,20
37,27,0,0,16.49,20
38,28,0,0,6.35,20
39,29,0,0,7.34,20
40,30,0,0,17.07,20
41,31,0,0,11.82,20
42,32,0,0,16.69,20
43,33,0,0,23.81,20
44,34,0,0,11.02,20
45,35,0,0,10.79,20
46,36,0,0,20.07,20
47,37,0,0,15.34,20
48,38,0,0,18.22,20
49,39,0,0,8.78,20
50,40,0,0,13.28,20
