idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,10.65,20
12,2,0,0,5.63,20
13,3,0,0,14.46,20
14,4,0,0,22.14,20
15,5,0,0,16.32,20
16,6,0,0,5.8,20
17,7,0,0,18.17,20
18,8,0,0,11.49,20
19,9,0,0,12.93,20
20,10,0,0,12.73,20
21,11,0,0,10.03,20
22,12,0,0,7.98,20
23,13,0,0,16.24,20
24,14,0,0,21.17,20
25,15,0,0,19.8,20
26,16,0,0,10.63,20
27,17,0,0,7.02,20
28,18,0,0,6.46,20
29,19,0,0,16.07,20
30,20,0,0,20.05,20
31,21,0,0,17.37,20
32,22,0,0,15.85,20
33,23,0,0,16.67,20
34,24,0,0,13.92,20
35,25,0,0,13.01,20
36,26,0,0,21.48,20
37,27,0,0,7.37,20
38,28,0,0,9.07,20
39,29,0,0,11.01,20
40,30,0,0,7.8,20
41,31,0,0,15.77,20
42,32,0,0,16.47,20
43,33,0,0,15.23,20
44,34,0,0,21.78,20
45,35,0,0,8.7,20
46,36,0,0,10.47,20
47,37,0,0,12.75,20
48,38,0,0,18.39,20
49,39,0,0,11.04,20
50,40,0,0,10.52,20
