idx,seq,priority,emerg,weight,size(ft)
11,1,0,0,17.99,20
12,2,0,0,7.94,20
13,3,0,0,11.44,20
14,4,0,0,11.04,20
15,5,0,0,15.13,20
16,6,0,0,14.83,20
17,7,0,0,17.59,20
18,8,0,0,8.09,20
19,9,0,0,18.28,20
20,10,0,0,11.82,20
21,11,0,0,19.6,20
22,12,0,0,13.58,20
23,13,0,0,22.09,20
24,14,0,0,8.26,20
25,15,0,0,14.04,20
26,16,0,0,15.85,20
27,17,0,0,20.57,20
28,18,0,0,5.93,20
29,19,0,0,19.1,20
30,20,0,0,17.78,20
31,21,0,0,12.14,20
32,22,0,0,23.94,20
33,23,0,0,7.88,20
34,24,0,0,13.28,20
35,25,0,0,19.76,20
36,26,0,0,15.32,20
37,27,0,0,13.98,20
38,28,0,0,8.53,20
39,29,0,0,7.48,20
40,30,0,0,23.06,20
41,31,0,0,9.78,20
42,32,0,0,12.2,20
43,33,0,0,20.34,20
44,34,0,0,5.18,20
45,35,0,0,11.3,20
46,36,0,0,22.62,20
47,37,0,0,11.96,20
48,38,0,0,9.88,20
49,39,0,0,14.24,20
50,40,0,0,20.27,20
