idx,loc_x,loc_y,loc_z,weight,group,score,seq,reloc,size(ft)
1,6,0,0,22.73,0,22.73,1,1.0,20
2,1,0,0,11.23,0,11.23,2,0,20
3,1,0,1,17.63,0,17.63,3,0,20
4,1,0,2,20.29,0,20.29,4,0,20
5,4,0,0,11.37,0,11.37,5,0,20
6,4,0,1,16.65,0,16.65,6,0,20
7,3,0,0,7.85,0,7.85,7,0,20
8,4,0,2,20.11,0,20.11,8,0,20
9,3,0,1,15.79,0,15.79,9,0,20
10,1,0,3,22.85,0,22.85,10,0,20
11,3,0,2,18.54,0,18.54,11,0,20
12,2,0,0,7.67,0,7.67,12,0,20
13,1,0,4,24.0,0,24.0,13,0,20
14,5,0,0,6.18,0,6.18,14,0,20
15,6,0,1,10.76,0,10.76,15,1.0,20
16,3,0,3,20.04,0,20.04,16,0,20
17,2,0,1,9.19,0,9.19,17,0,20
18,5,0,1,8.19,0,8.19,18,0,20
19,5,0,2,8.73,0,8.73,19,0,20
20,5,0,3,13.66,0,13.66,20,0,20
21,5,0,4,17.84,0,17.84,21,0,20
22,4,0,3,23.01,0,23.01,22,0,20
23,2,0,2,10.44,0,10.44,23,0,20
24,6,0,2,5.06,0,5.06,24,1.0,20
25,3,0,4,20.45,0,20.45,25,0,20
