idx,seq,priority,weight,size(ft)
6,1,2.5,6.89,20
7,2,0.7000000000000001,4.9,20
8,3,0.4,5.58,20
9,4,1.2000000000000002,7.91,20
10,5,1.9000000000000001,18.34,20
11,6,1.4000000000000001,16.52,20
12,7,0.8,4.07,20
13,8,2.3000000000000003,9.04,20
14,9,1.6,3.97,20
15,10,0.9,23.78,20
16,11,0.0,14.55,20
17,12,2.2,6.12,20
18,13,0.30000000000000004,19.1,20
19,14,1.7000000000000002,9.81,20
20,15,0.6000000000000001,5.5,20
21,16,0.0,3.56,20
22,17,1.1,10.18,20
23,18,1.0,12.91,20
24,19,0.2,17.03,20
25,20,1.5,8.84,20
