idx,seq,priority,weight,size(ft)
6,1,1.5,23.69,20
7,2,0.0,7.12,20
8,3,1.7000000000000002,15.31,20
9,4,0.5,7.89,20
10,5,1.3,19.14,20
11,6,2.4000000000000004,8.11,20
12,7,2.0,14.32,20
13,8,1.2000000000000002,5.14,20
14,9,1.4000000000000001,16.3,20
15,10,2.5,5.46,20
16,11,1.0,13.72,20
17,12,1.6,5.32,20
18,13,1.8,13.07,20
19,14,0.8,3.89,20
20,15,0.30000000000000004,4.76,20
21,16,0.6000000000000001,4.26,20
22,17,0.2,18.02,20
23,18,0.7000000000000001,16.69,20
24,19,0.0,17.13,20
25,20,1.9000000000000001,17.94,20
