idx,seq,priority,weight,size(ft)
6,1,1.7000000000000002,3.35,20
7,2,1.9000000000000001,18.62,20
8,3,0.30000000000000004,7.93,20
9,4,0.4,23.69,20
10,5,2.1,23.15,20
11,6,1.2000000000000002,17.01,20
12,7,1.0,7.28,20
13,8,0.8,14.09,20
14,9,2.3000000000000003,20.25,20
15,10,2.0,18.85,20
16,11,0.9,12.59,20
17,12,0.2,20.86,20
18,13,0.0,10.19,20
19,14,2.4000000000000004,11.87,20
20,15,1.6,4.76,20
21,16,2.5,8.59,20
22,17,2.2,18.76,20
23,18,0.7000000000000001,20.96,20
24,19,1.4000000000000001,4.32,20
25,20,1.5,19.77,20
