idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,9,0,0,22.7,0,22.7,0,0,0,20
2,6,0,0,22.47,0,22.47,0,0,0,20
3,2,0,0,8.18,0,8.18,0,0,0,20
4,1,0,0,7.66,0,7.66,0,0,0,20
5,8,0,0,10.88,0,10.88,0,0,0,20
6,4,0,0,21.99,0,21.99,1,0,1.0,20
7,2,0,1,14.28,0,14.28,2,0,0,20
8,3,0,0,13.01,0,13.01,3,0,0,20
9,3,0,1,13.51,0,13.51,4,0,0,20
10,3,0,2,13.68,0,13.68,5,0,0,20
11,4,0,1,7.27,0,7.27,6,0,1.0,20
12,2,0,2,18.63,0,18.63,7,0,0,20
13,5,0,0,6.39,0,6.39,8,0,0,20
14,2,0,3,19.41,0,19.41,9,0,0,20
15,3,0,3,17.9,0,17.9,10,0,0,20
16,3,0,4,20.77,0,20.77,11,0,0,20
17,4,0,2,17.3,0,17.3,12,0,1.0,20
18,6,0,1,23.47,0,23.47,13,0,0,20
19,1,0,1,12.7,0,12.7,14,0,0,20
20,5,0,1,6.69,0,6.69,15,0,0,20
