idx,loc_x,loc_y,loc_z,weight,group,score,seq,emerg,reloc,size(ft)
1,9,0,0,7.52,0,7.52,0,0,0,20
2,9,0,1,11.1,0,11.1,0,0,0,20
3,2,0,0,9.31,0,9.31,0,0,0,20
4,7,0,0,15.91,0,15.91,0,0,0,20
5,5,0,0,15.52,0,15.52,0,0,0,20
6,2,0,1,11.36,0,11.36,1,0,0,20
7,5,0,1,19.6,0,19.6,2,0,0,20
8,2,0,2,17.6,0,17.6,3,0,1.0,20
9,1,0,0,6.34,0,6.34,4,0,0,20
10,2,0,3,16.94,0,16.94,5,0,1.0,20
11,2,0,4,12.06,0,12.06,6,0,1.0,20
12,3,0,0,10.09,0,10.09,7,0,0,20
13,1,0,1,8.5,0,8.5,8,0,1.0,20
14,1,0,2,8.16,0,8.16,9,0,1.0,20
15,3,0,1,12.79,0,12.79,10,0,0,20
16,1,0,3,12.44,0,12.44,11,0,1.0,20
17,5,0,2,22.38,0,22.38,12,0,0,20
18,4,0,0,6.64,0,6.64,13,0,0,20
19,6,0,0,5.25,0,5.25,14,0,0,20
20,3,0,2,15.93,0,15.93,15,0,0,20
